model_name,plant_species,precision,recall,f1_score
mobilenet_127,Gymnocarpos decander Forssk.,0.656934306569343,0.32727272727272727,0.4368932038834951
mobilenet_127,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,0.15584415584415584,0.07407407407407407,0.100418410041841
mobilenet_127,Heliotropium arbainense Fresen.,0.4375,0.44954128440366975,0.4434389140271493
mobilenet_127,Iphiona mucronata (Forssk.) Asch. & Schweinf.,0.0,0.0,0.0
mobilenet_127,Limonium pruinosum (L.) Chaz.,0.5360824742268041,0.42276422764227645,0.4727272727272727
mobilenet_127,Lycium shawii Roem. & Schult.,0.23118279569892472,0.516,0.3193069306930693
mobilenet_127,Nitraria retusa (Forssk.) Asch.,0.2857142857142857,0.1469387755102041,0.1940700808625337
mobilenet_127,Ochradenus baccatus Delile,0.6116838487972509,0.6994106090373281,0.6526122823098075
mobilenet_127,Peganum harmala L.,0.1111111111111111,0.009615384615384616,0.017699115044247787
mobilenet_127,Rumex vesicarius L.,0.515625,0.16019417475728157,0.24444444444444444
mobilenet_127,Salsola imbricata Forssk.,0.6530612244897959,0.0642570281124498,0.1170018281535649
mobilenet_127,Stachys aegyptiaca Pers.,0.5370370370370371,0.21641791044776118,0.30851063829787234
